season,yr,month,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,total
1,1,1,0,6,0,2,47,46,0.805833,11,331,654,985
1,1,1,0,0,0,2,48,45,0.696087,17,131,670,801
1,1,1,0,1,1,1,34,26,0.437273,17,120,1229,1349
1,1,1,0,2,1,1,35,28,0.590435,11,108,1454,1562
1,1,1,0,3,1,1,37,30,0.436957,13,82,1518,1600
1,1,1,0,4,1,1,35,31,0.518261,6,88,1518,1606
1,1,1,0,5,1,2,34,28,0.498696,11,148,1362,1510
1,1,1,0,6,0,2,32,22,0.535833,18,68,891,959
1,1,1,0,0,0,1,29,17,0.434167,24,54,768,822
1,1,1,0,1,1,1,30,21,0.482917,15,41,1280,1321
1,1,1,0,2,1,2,32,26,0.686364,8,43,1220,1263
1,1,1,0,3,1,1,32,22,0.599545,20,25,1137,1162
1,1,1,0,4,1,1,32,21,0.470417,20,38,1368,1406
1,1,1,0,5,1,1,31,26,0.537826,8,54,1367,1421
1,1,1,0,6,0,2,37,33,0.49875,11,222,1026,1248
1,1,1,0,0,0,1,37,31,0.48375,13,251,953,1204
1,1,1,1,1,0,2,32,24,0.5375,13,117,883,1000
1,1,1,0,2,1,2,36,31,0.861667,10,9,674,683
1,1,1,0,3,1,2,42,39,0.741739,14,78,1572,1650
1,1,1,0,4,1,2,40,33,0.538333,13,83,1844,1927
1,1,1,0,5,1,1,33,22,0.457083,24,75,1468,1543
1,1,1,0,6,0,1,23,13,0.4,12,93,888,981
1,1,1,0,0,0,1,26,15,0.436522,17,150,836,986
1,1,1,0,1,1,1,26,17,0.491739,11,86,1330,1416
1,1,1,0,2,1,2,37,31,0.616957,9,186,1799,1985
1,1,1,0,3,1,3,36,27,0.8625,20,34,472,506
1,1,1,0,4,1,1,34,29,0.6875,8,15,416,431
1,1,1,0,5,1,2,35,30,0.793043,8,38,1129,1167
1,1,1,0,6,0,1,34,28,0.651739,10,123,975,1098
1,1,1,0,0,0,1,36,33,0.722174,5,140,956,1096
1,1,1,0,1,1,2,33,25,0.60375,13,42,1459,1501
1,1,2,0,2,1,2,34,31,0.829565,4,47,1313,1360
1,1,2,0,3,1,2,40,33,0.775417,18,72,1454,1526
1,1,2,0,4,1,1,33,24,0.437826,19,61,1489,1550
1,1,2,0,5,1,2,35,30,0.585217,9,88,1620,1708
1,1,2,0,6,0,2,37,32,0.929167,11,100,905,1005
1,1,2,0,0,0,1,42,38,0.568333,10,354,1269,1623
1,1,2,0,1,1,1,41,39,0.738333,3,120,1592,1712
1,1,2,0,2,1,1,36,27,0.537917,24,64,1466,1530
1,1,2,0,3,1,2,29,20,0.494783,13,53,1552,1605
1,1,2,0,4,1,1,30,21,0.437391,15,47,1491,1538
1,1,2,0,5,1,1,34,29,0.506364,7,149,1597,1746
1,1,2,0,6,0,1,36,31,0.544167,14,288,1184,1472
1,1,2,0,0,0,1,44,42,0.457391,17,397,1192,1589
1,1,2,0,1,1,1,53,51,0.375833,28,208,1705,1913
1,1,2,0,2,1,1,40,33,0.314348,20,140,1675,1815
1,1,2,0,3,1,1,45,41,0.423478,17,218,1897,2115
1,1,2,0,4,1,1,54,54,0.505,15,259,2216,2475
1,1,2,0,5,1,1,62,64,0.516667,18,579,2348,2927
1,1,2,0,6,0,1,51,50,0.187917,34,532,1103,1635
1,1,2,0,0,0,1,42,36,0.407826,15,639,1173,1812
1,1,2,1,1,0,2,43,37,0.605,21,195,912,1107
1,1,2,0,2,1,1,33,25,0.577778,13,74,1376,1450
1,1,2,0,3,1,1,36,32,0.423043,6,139,1778,1917
1,1,2,0,4,1,2,43,38,0.697391,17,100,1707,1807
1,1,2,0,5,1,2,48,45,0.712174,23,120,1341,1461
1,1,2,0,6,0,1,41,37,0.537917,13,424,1545,1969
1,1,2,0,0,0,1,47,45,0.68,8,694,1708,2402
1,1,2,0,1,1,2,52,51,0.876364,19,81,1365,1446
1,1,3,0,2,1,1,40,35,0.535,15,137,1714,1851
1,1,3,0,3,1,1,46,41,0.449583,21,231,1903,2134
1,1,3,0,4,1,1,34,27,0.318333,15,123,1562,1685
1,1,3,0,5,1,2,40,34,0.610417,14,214,1730,1944
1,1,3,0,6,0,2,50,48,0.789167,17,640,1437,2077
1,1,3,0,0,0,2,49,47,0.948261,23,114,491,605
1,1,3,0,1,1,1,40,32,0.551304,23,244,1628,1872
1,1,3,0,2,1,1,42,39,0.420833,8,316,1817,2133
1,1,3,0,3,1,2,43,37,0.775417,15,191,1700,1891
1,1,3,0,4,1,3,51,49,0,18,46,577,623
1,1,3,0,5,1,2,44,39,0.649565,16,247,1730,1977
1,1,3,0,6,0,1,45,42,0.594583,15,724,1408,2132
1,1,3,0,0,0,1,50,48,0.527391,18,982,1435,2417
1,1,3,0,1,1,1,45,43,0.496957,9,359,1687,2046
1,1,3,0,2,1,2,44,41,0.655652,12,289,1767,2056
1,1,3,0,3,1,2,48,47,0.776522,14,321,1871,2192
1,1,3,0,4,1,1,53,52,0.602917,14,424,2320,2744
1,1,3,0,5,1,1,63,66,0.525217,15,884,2355,3239
1,1,3,0,6,0,1,58,59,0.379167,25,1424,1693,3117
1,1,3,0,0,0,1,46,42,0.47375,14,1047,1424,2471
2,1,3,0,1,1,2,54,52,0.737391,19,401,1676,2077
2,1,3,0,2,1,1,55,56,0.624583,15,460,2243,2703
2,1,3,0,3,1,2,47,43,0.839565,16,203,1918,2121
2,1,3,0,4,1,2,42,35,0.805833,16,166,1699,1865
2,1,3,0,5,1,1,40,34,0.495,15,300,1910,2210
2,1,3,0,6,0,1,40,34,0.394167,14,981,1515,2496
2,1,3,0,0,0,2,39,33,0.493913,12,472,1221,1693
2,1,3,0,1,1,1,40,34,0.302174,14,222,1806,2028
2,1,3,0,2,1,1,43,38,0.314167,15,317,2108,2425
2,1,3,0,3,1,2,43,39,0.646667,12,168,1368,1536
2,1,3,0,4,1,3,40,34,0.918333,15,179,1506,1685
2,1,4,0,5,1,2,43,37,0.68625,17,307,1920,2227
2,1,4,0,6,0,2,44,41,0.65375,13,898,1354,2252
2,1,4,0,0,0,1,50,48,0.48,12,1651,1598,3249
2,1,4,0,1,1,1,66,68,0.42625,26,734,2381,3115
2,1,4,0,2,1,2,53,51,0.642083,26,167,1628,1795
2,1,4,0,3,1,1,51,49,0.470833,18,413,2395,2808
2,1,4,0,4,1,1,55,55,0.602917,11,571,2570,3141
2,1,4,0,5,1,2,46,42,0.83625,15,172,1299,1471
2,1,4,0,6,0,2,47,44,0.8775,9,879,1576,2455
2,1,4,0,0,0,2,54,54,0.8575,10,1188,1707,2895
2,1,4,0,1,1,2,68,70,0.716956,22,855,2493,3348
2,1,4,0,2,1,2,60,62,0.739167,18,257,1777,2034
2,1,4,0,3,1,2,52,53,0.819167,17,209,1953,2162
2,1,4,0,4,1,1,57,58,0.540417,7,529,2738,3267
2,1,4,1,5,0,1,55,56,0.67125,15,642,2484,3126
2,1,4,0,6,0,3,54,54,0.888333,23,121,674,795
2,1,4,0,0,0,1,56,56,0.479583,20,1558,2186,3744
2,1,4,0,1,1,1,61,63,0.5425,11,669,2760,3429
2,1,4,0,2,1,2,60,61,0.665833,11,409,2795,3204
2,1,4,0,3,1,1,68,70,0.614167,16,613,3331,3944
2,1,4,0,4,1,1,56,57,0.407083,22,745,3444,4189
2,1,4,0,5,1,2,46,41,0.729583,15,177,1506,1683
2,1,4,0,6,0,2,57,57,0.887917,15,1462,2574,4036
2,1,4,0,0,0,2,67,69,0.810833,13,1710,2481,4191
2,1,4,0,1,1,1,69,71,0.776667,12,773,3300,4073
2,1,4,0,2,1,1,71,74,0.729167,22,678,3722,4400
2,1,4,0,3,1,2,70,72,0.835417,21,547,3325,3872
2,1,4,0,4,1,2,70,72,0.700833,22,569,3489,4058
2,1,4,0,5,1,1,61,62,0.457083,16,878,3717,4595
2,1,4,0,6,0,1,58,58,0.503333,16,1965,3347,5312
2,1,5,0,0,0,2,56,56,0.762083,7,1138,2213,3351
2,1,5,0,1,1,2,64,67,0.73,12,847,3554,4401
2,1,5,0,2,1,2,70,72,0.697083,23,603,3848,4451
2,1,5,0,3,1,2,53,51,0.737083,22,255,2378,2633
2,1,5,0,4,1,1,56,56,0.444167,20,614,3819,4433
2,1,5,0,5,1,1,58,60,0.59,15,894,3714,4608
2,1,5,0,6,0,1,62,64,0.54125,11,1612,3102,4714
2,1,5,0,0,0,1,62,65,0.631667,5,1401,2932,4333
2,1,5,0,1,1,1,63,66,0.58875,12,664,3698,4362
2,1,5,0,2,1,1,63,65,0.489167,8,694,4109,4803
2,1,5,0,3,1,1,63,66,0.632917,8,550,3632,4182
2,1,5,0,4,1,1,63,65,0.7475,13,695,4169,4864
2,1,5,0,5,1,2,61,62,0.863333,12,692,3413,4105
2,1,5,0,6,0,2,62,63,0.9225,9,902,2507,3409
2,1,5,0,0,0,2,65,67,0.867083,10,1582,2971,4553
2,1,5,0,1,1,1,66,69,0.787917,9,773,3185,3958
2,1,5,0,2,1,2,65,67,0.837917,19,678,3445,4123
2,1,5,0,3,1,2,64,66,0.87,13,536,3319,3855
2,1,5,0,4,1,2,63,64,0.829583,7,735,3840,4575
2,1,5,0,5,1,1,63,66,0.719583,8,909,4008,4917
2,1,5,0,6,0,1,69,71,0.626667,8,2258,3547,5805
2,1,5,0,0,0,1,69,71,0.749583,10,1576,3084,4660
2,1,5,0,1,1,2,71,73,0.81,16,836,3438,4274
2,1,5,0,2,1,2,73,75,0.740833,14,659,3833,4492
2,1,5,0,3,1,1,74,76,0.69625,10,740,4238,4978
2,1,5,0,4,1,1,78,81,0.6775,13,758,3919,4677
2,1,5,0,5,1,1,75,79,0.65375,16,871,3808,4679
2,1,5,0,6,0,1,73,76,0.729583,15,2001,2757,4758
2,1,5,0,0,0,1,74,76,0.81875,14,2355,2433,4788
2,1,5,1,1,0,1,80,83,0.685,9,1549,2549,4098
2,1,5,0,2,1,1,83,89,0.636667,7,673,3309,3982
2,1,6,0,3,1,2,82,89,0.677083,14,513,3461,3974
2,1,6,0,4,1,1,78,80,0.305,20,736,4232,4968
