Country,Continent,Years,Internet access,Emissions range,Fertility,Emissions,Internet
Afghanistan,Asia,3.8,Low,Low,4.33,0.254,16.8
Albania,Europe,10,Moderate,Low,1.71,1.59,65.4
Algeria,Africa,8,Low,Moderate,2.64,3.69,49
Angola,Africa,5.1,Low,Low,5.55,1.12,29
Argentina,Americas,9.9,High,Moderate,2.26,4.41,77.7
Armenia,Asia,11.7,Moderate,Low,1.6,1.89,68.2
Australia,Oceania,12.9,High,Very high,1.83,16.9,87.6
Austria,Europe,12.1,High,High,1.52,7.75,87.5
Azerbaijan,Asia,10.7,High,Moderate,2.04,3.7,79.8
Bahamas,Americas,11.1,High,Moderate,1.75,4.7,83
Bahrain,Asia,9.4,Very high,Very high,1.99,19.8,98.6
Bangladesh,Asia,4.7,Low,Low,2.05,0.531,21.8
Belarus,Europe,12.3,High,High,1.72,6.93,79.1
Belgium,Europe,11.8,High,High,1.8,8.69,88.6
Belize,Americas,10.5,Low,Low,2.44,1.5,49.8
Benin,Africa,3.6,Low,Low,4.84,0.623,19
Bhutan,Asia,3.1,Low,Low,1.99,1.61,49.5
Bolivia,Americas,8.9,Low,Low,2.8,1.96,44.3
Bosnia and Herzegovina,Europe,9.7,High,High,1.39,6.53,70.1
Botswana,Africa,9.3,Moderate,Moderate,2.64,2.96,58
Brazil,Americas,7.8,High,Moderate,1.7,2.18,70.4
Brunei,Asia,9.1,Very high,Very high,1.85,18.5,95
Bulgaria,Europe,11.8,Moderate,High,1.59,6.32,64.8
Burkina Faso,Africa,1.5,Low,Low,5.19,0.198,17.4
Burundi,Africa,3,Low,Low,5.53,0.0467,4.1
Cameroon,Africa,6.3,Low,Low,4.57,0.323,29.7
Canada,Americas,13.3,Very high,Very high,1.56,15.3,94.6
Cape Verde,Africa,6.1,Moderate,Low,2.27,1.16,59.5
Central African Republic,Africa,4.3,Low,Low,4.72,0.0651,5.1
Chad,Africa,2.3,Low,Low,5.75,0.0656,8
Chile,Americas,10.3,High,Moderate,1.76,4.59,84.9
China,Asia,8.5,Moderate,High,1.64,7.06,59.2
Colombia,Americas,8.3,Moderate,Low,1.82,1.96,64.1
Costa Rica,Americas,8.8,High,Low,1.75,1.61,73.5
Cote d'Ivoire,Africa,5.2,Low,Low,4.78,0.335,37.5
Croatia,Europe,11.3,High,Moderate,1.45,4.48,75.3
Cuba,Americas,11.8,Moderate,Moderate,1.72,2.53,62.7
Cyprus,Asia,12.1,High,High,1.34,6.3,84.4
Denmark,Europe,12.6,Very high,High,1.76,6.06,97.3
Djibouti,Africa,4.1,Moderate,Low,2.73,0.672,58
Dominican Republic,Americas,7.8,High,Moderate,2.36,2.34,74.8
Ecuador,Americas,8.7,Moderate,Moderate,2.43,2.46,57.5
Egypt,Africa,7.2,Low,Moderate,3.15,2.43,46.9
El Salvador,Americas,6.9,Low,Low,2.04,1.11,43.8
Estonia,Europe,12.7,High,Very high,1.66,14.8,89.4
Ethiopia,Africa,2.7,Low,Low,3.97,0.137,20
Fiji,Oceania,10.8,Moderate,Moderate,2.47,2.41,68.9
Finland,Europe,12.4,High,High,1.78,8.52,88.9
France,Europe,11.5,High,High,1.97,5.2,82
Gabon,Africa,8.2,Moderate,Moderate,3.66,2.53,59.6
Gambia,Africa,3.5,Low,Low,5.29,0.268,32.6
Georgia,Asia,12.8,Moderate,Moderate,1.98,2.64,62.7
Germany,Europe,14.1,High,High,1.48,9.14,87
Ghana,Africa,7.1,Low,Low,3.87,0.615,43
Greece,Europe,10.8,High,High,1.3,7.03,72.2
Grenada,Americas,8.7,Moderate,Moderate,2.06,2.43,55.1
Guatemala,Americas,6.5,Low,Low,2.87,1.07,41.5
Guinea,Africa,2.6,Low,Low,4.7,0.256,21.8
