age,educ,sex,race,polviews,polviews_num,marijuana,marijuana01
60,16,male,white,slightly liberal,3,should be legal,1
76,13,male,white,moderate,4,should be legal,1
61,16,female,other,conservative,6,should not be legal,0
20,14,female,white,liberal,2,should be legal,1
56,14,female,white,moderate,4,should be legal,1
22,15,female,white,liberal,2,should be legal,1
43,20,female,white,liberal,2,should be legal,1
65,12,male,white,slightly conservative,5,should be legal,1
62,13,female,white,moderate,4,should not be legal,0
62,8,female,white,liberal,2,should be legal,1
29,17,male,white,moderate,4,should be legal,1
51,16,female,white,moderate,4,should not be legal,0
24,16,female,other,extremely liberal,1,should be legal,1
26,12,female,other,moderate,4,should not be legal,0
30,14,male,white,slightly conservative,5,should not be legal,0
31,13,female,white,slightly liberal,3,should be legal,1
64,14,male,white,moderate,4,should be legal,1
51,15,female,white,moderate,4,should be legal,1
55,12,female,other,liberal,2,should not be legal,0
62,12,female,white,conservative,6,should be legal,1
42,16,male,white,liberal,2,should be legal,1
28,13,male,black,slightly liberal,3,should be legal,1
41,16,male,white,moderate,4,should be legal,1
41,20,female,white,conservative,6,should be legal,1
22,15,female,white,liberal,2,should be legal,1
28,16,male,white,liberal,2,should be legal,1
71,16,female,white,conservative,6,should not be legal,0
25,17,male,white,liberal,2,should be legal,1
28,16,female,white,extremely liberal,1,should be legal,1
61,18,female,white,liberal,2,should be legal,1
53,19,female,white,extremely liberal,1,should be legal,1
87,12,male,white,conservative,6,should not be legal,0
74,14,male,black,moderate,4,should be legal,1
41,20,female,white,slightly conservative,5,should be legal,1
79,18,female,white,moderate,4,should be legal,1
74,16,male,black,slightly conservative,5,should be legal,1
65,12,male,white,slightly conservative,5,should not be legal,0
36,16,female,other,conservative,6,should not be legal,0
40,17,female,white,slightly liberal,3,should be legal,1
57,12,male,white,slightly liberal,3,should be legal,1
41,12,female,black,moderate,4,should be legal,1
45,14,female,other,slightly conservative,5,should be legal,1
52,14,male,black,conservative,6,should be legal,1
50,12,female,white,slightly conservative,5,should be legal,1
51,17,female,black,slightly conservative,5,should not be legal,0
44,14,female,white,moderate,4,should be legal,1
46,18,female,black,moderate,4,should be legal,1
67,12,male,white,moderate,4,should be legal,1
42,15,female,black,moderate,4,should not be legal,0
34,20,female,white,liberal,2,should be legal,1
39,12,male,white,slightly conservative,5,should be legal,1
68,15,male,other,moderate,4,should be legal,1
45,12,female,white,conservative,6,should be legal,1
74,16,female,white,extremely liberal,1,should be legal,1
32,16,male,white,moderate,4,should not be legal,0
67,12,male,white,slightly liberal,3,should be legal,1
57,17,male,white,slightly liberal,3,should be legal,1
36,12,male,white,moderate,4,should be legal,1
34,15,female,white,liberal,2,should be legal,1
61,15,female,white,conservative,6,should not be legal,0
48,12,female,other,slightly conservative,5,should not be legal,0
32,19,female,white,liberal,2,should be legal,1
37,16,female,white,extremely liberal,1,should be legal,1
65,13,male,other,slightly liberal,3,should be legal,1
34,13,female,white,slightly conservative,5,should be legal,1
69,17,male,white,liberal,2,should be legal,1
57,16,male,white,extremely liberal,1,should be legal,1
66,12,male,white,liberal,2,should be legal,1
74,17,female,white,moderate,4,should be legal,1
73,14,female,white,NA,,should not be legal,0
47,14,male,white,conservative,6,should be legal,1
59,18,female,white,moderate,4,should not be legal,0
45,12,male,other,moderate,4,should not be legal,0
39,18,male,white,liberal,2,should be legal,1
60,14,male,white,moderate,4,should be legal,1
53,15,male,white,moderate,4,should be legal,1
64,14,female,white,moderate,4,should not be legal,0
55,14,female,white,NA,,should be legal,1
62,14,male,white,moderate,4,should be legal,1
56,11,female,white,moderate,4,should be legal,1
43,13,female,black,liberal,2,should be legal,1
31,16,female,other,conservative,6,should not be legal,0
27,16,female,white,slightly liberal,3,should be legal,1
26,18,female,white,slightly conservative,5,should be legal,1
45,18,male,white,moderate,4,should be legal,1
36,18,male,white,slightly liberal,3,should be legal,1
52,19,female,white,moderate,4,should not be legal,0
49,12,female,white,moderate,4,should be legal,1
22,13,male,white,liberal,2,should be legal,1
56,12,male,black,moderate,4,should be legal,1
55,15,female,white,moderate,4,should be legal,1
60,16,male,white,slightly conservative,5,should not be legal,0
66,12,male,white,moderate,4,should be legal,1
80,12,female,white,slightly conservative,5,should not be legal,0
47,16,male,white,conservative,6,should not be legal,0
47,14,female,white,moderate,4,should be legal,1
33,12,female,white,moderate,4,should be legal,1
27,17,male,white,liberal,2,should be legal,1
35,16,female,white,moderate,4,should not be legal,0
70,14,male,white,conservative,6,should be legal,1
35,16,male,white,slightly liberal,3,should be legal,1
41,16,female,white,extremely liberal,1,should be legal,1
34,14,female,white,moderate,4,should be legal,1
32,8,male,other,conservative,6,should not be legal,0
67,14,male,white,conservative,6,should be legal,1
49,18,female,white,slightly conservative,5,should be legal,1
33,17,female,white,slightly liberal,3,should be legal,1
40,12,male,white,moderate,4,should be legal,1
53,12,female,white,moderate,4,should be legal,1
72,18,male,white,moderate,4,should be legal,1
63,18,male,white,moderate,4,should be legal,1
36,16,female,white,extremely liberal,1,should be legal,1
76,19,male,white,slightly liberal,3,should be legal,1
39,13,female,black,moderate,4,should be legal,1
34,12,female,white,moderate,4,should be legal,1
37,14,female,black,moderate,4,should be legal,1
81,16,male,white,conservative,6,should not be legal,0
70,16,female,white,liberal,2,should be legal,1
76,16,female,white,slightly conservative,5,should not be legal,0
79,14,male,white,slightly conservative,5,should be legal,1
39,12,female,white,moderate,4,should be legal,1
80,16,female,black,moderate,4,should not be legal,0
62,16,female,white,NA,,should not be legal,0
66,16,female,white,slightly liberal,3,should be legal,1
74,12,male,white,moderate,4,should not be legal,0
41,14,female,white,conservative,6,should be legal,1
32,13,female,white,extremely liberal,1,should not be legal,0
49,13,female,white,NA,,should not be legal,0
46,13,female,black,liberal,2,should be legal,1
35,12,female,white,moderate,4,should be legal,1
69,19,male,white,slightly conservative,5,should be legal,1
30,14,female,other,moderate,4,should be legal,1
48,16,male,white,moderate,4,should be legal,1
24,17,female,white,extremely liberal,1,should be legal,1
65,16,female,white,liberal,2,should be legal,1
77,12,male,white,conservative,6,should not be legal,0
29,12,male,white,moderate,4,should be legal,1
69,16,male,white,extremely liberal,1,should be legal,1
62,16,male,white,conservative,6,should not be legal,0
84,12,male,white,moderate,4,should be legal,1
40,20,female,white,slightly liberal,3,should be legal,1
89,12,male,white,moderate,4,should not be legal,0
80,15,female,black,liberal,2,should be legal,1
81,16,male,white,moderate,4,should not be legal,0
22,14,female,white,slightly liberal,3,should be legal,1
39,14,female,white,NA,,should not be legal,0
55,12,female,white,moderate,4,should not be legal,0
55,18,female,white,moderate,4,should not be legal,0
27,19,male,other,liberal,2,should be legal,1
55,14,female,black,moderate,4,should be legal,1
25,10,male,white,moderate,4,should be legal,1
67,13,male,white,slightly conservative,5,should not be legal,0
28,16,male,white,extremely liberal,1,should be legal,1
43,14,female,white,moderate,4,should be legal,1
34,11,female,white,moderate,4,should be legal,1
