mpg,cylinders,horsepower,acceleration,name
18,8,130,12,chevrolet chevelle malibu
18,8,130,12,chevrolet chevelle malibu
15,8,165,11.5,buick skylark 320
18,8,150,11,plymouth satellite
16,8,150,12,amc rebel sst
17,8,140,10.5,ford torino
15,8,198,10,ford galaxie 500
14,8,220,9,chevrolet impala
14,8,215,8.5,plymouth fury iii
14,8,225,10,pontiac catalina
15,8,190,8.5,amc ambassador dpl
15,8,170,10,dodge challenger se
14,8,160,8,plymouth 'cuda 340
15,8,150,9.5,chevrolet monte carlo
14,8,225,10,buick estate wagon (sw)
24,4,95,15,toyota corona mark ii
22,6,95,15.5,plymouth duster
18,6,97,15.5,amc hornet
,6,85,16,ford maverick
27,4,88,14.5,datsun pl510
26,4,46,20.5,volkswagen 1131 deluxe sedan
25,4,87,17.5,peugeot 504
24,4,90,14.5,audi 100 ls
25,4,95,17.5,saab 99e
26,4,113,12.5,bmw 2002
21,6,90,15,amc gremlin
10,8,215,14,ford f250
10,8,200,15,chevy c20
11,8,210,13.5,dodge d200
9,8,193,18.5,hi 1200d
27,4,88,14.5,datsun pl510
28,4,90,15.5,chevrolet vega 2300
25,4,95,14,toyota corona
25,,,19,ford pinto
19,6,100,13,amc gremlin
16,6,105,15.5,plymouth satellite custom
17,6,100,15.5,chevrolet chevelle malibu
19,6,88,15.5,ford torino 500
18,6,100,15.5,amc matador
,8,165,12,chevrolet impala
14,8,175,11.5,pontiac catalina brougham
14,8,153,13.5,ford galaxie 500
14,8,150,13,plymouth fury iii
12,8,180,11.5,dodge monaco (sw)
13,8,170,12,ford country squire (sw)
13,8,175,12,pontiac safari (sw)
18,6,110,13.5,amc hornet sportabout (sw)
22,4,72,19,chevrolet vega (sw)
19,6,100,15,pontiac firebird
18,6,88,14.5,ford mustang
23,4,86,14,mercury capri 2000
28,4,90,14,opel 1900
30,4,70,19.5,peugeot 304
30,4,,14.5,fiat 124b
31,4,65,19,toyota corolla 1200
35,4,69,18,datsun 1200
27,4,60,19,volkswagen model 111
26,4,70,20.5,plymouth cricket
24,4,95,15.5,toyota corona hardtop
25,4,80,17,dodge colt hardtop
23,4,54,23.5,volkswagen type 3
20,4,90,19.5,chevrolet vega
21,4,86,16.5,ford pinto runabout
13,8,165,12,chevrolet impala
14,8,175,12,pontiac catalina
15,8,150,13.5,plymouth fury iii
14,8,153,13,ford galaxie 500
17,8,150,11.5,amc ambassador sst
11,8,208,11,mercury marquis
13,,155,13.5,buick lesabre custom
12,8,160,13.5,oldsmobile delta 88 royale
13,8,190,12.5,chrysler newport royal
19,3,97,13.5,mazda rx2 coupe
15,8,150,12.5,amc matador (sw)
13,8,130,14,chevrolet chevelle concours (sw)
13,8,140,16,ford gran torino (sw)
14,8,150,14,plymouth satellite custom (sw)
18,4,112,14.5,volvo 145e (sw)
22,4,76,18,volkswagen 411 (sw)
21,4,87,19.5,peugeot 504 (sw)
21,4,87,19.5,peugeot 504 (sw)
21,4,87,19.5,peugeot 504 (sw)
21,4,87,19.5,peugeot 504 (sw)
26,4,69,18,renault 12 (sw)
22,4,86,,ford pinto (sw)
28,4,92,17,datsun 510 (sw)
23,4,97,14.5,toyouta corona mark ii (sw)
28,4,80,15,dodge colt (sw)
27,4,88,16.5,toyota corolla 1600 (sw)
13,8,175,13,buick century 350
14,8,150,11.5,amc matador
13,8,145,13,chevrolet malibu
14,8,137,14.5,ford gran torino
15,8,150,12.5,dodge coronet custom
12,8,198,11.5,mercury marquis brougham
13,8,150,12,chevrolet caprice classic
13,8,158,13,ford ltd
14,8,150,14.5,plymouth fury gran sedan
13,8,215,11,chrysler new yorker brougham
12,8,225,11,buick electra 225 custom
13,8,175,11,amc ambassador brougham
18,6,105,16.5,plymouth valiant
16,6,100,18,chevrolet nova custom
18,6,100,16,amc hornet
18,6,88,16.5,ford maverick
23,6,95,16,plymouth duster
26,4,46,21,volkswagen super beetle
11,8,150,14,chevrolet impala
12,8,167,12.5,ford country
13,8,170,13,plymouth custom suburb
12,8,180,12.5,oldsmobile vista cruiser
18,6,100,15,amc gremlin
20,4,88,19,toyota carina
21,4,72,19.5,chevrolet vega
22,4,94,16.5,datsun 610
18,3,90,13.5,maxda rx3
19,4,85,18.5,ford pinto
21,6,107,14,mercury capri v6
26,4,90,15.5,fiat 124 sport coupe
15,8,145,13,chevrolet monte carlo s
16,8,230,9.5,pontiac grand prix
29,4,49,19.5,fiat 128
24,4,75,15.5,opel manta
20,4,91,14,audi 100ls
19,4,112,15.5,volvo 144ea
15,8,150,11,dodge dart custom
24,4,110,14,saab 99le
20,6,122,13.5,toyota mark ii
11,8,180,11,oldsmobile omega
20,6,95,16.5,plymouth duster
21,6,,17,ford maverick
19,6,100,16,amc hornet
15,6,100,17,chevrolet nova
31,4,67,19,datsun b210
26,4,80,16.5,ford pinto
32,4,65,21,toyota corolla 1200
25,4,75,17,chevrolet vega
16,6,100,17,chevrolet chevelle malibu classic
16,6,110,18,amc matador
18,6,105,16.5,plymouth satellite sebring
16,8,140,14,ford gran torino
13,8,150,14.5,buick century luxus (sw)
14,8,150,13.5,dodge coronet custom (sw)
14,8,140,16,ford gran torino (sw)
14,8,150,15.5,amc matador (sw)
29,4,83,16.5,audi fox
26,4,67,15.5,volkswagen dasher
26,4,78,14.5,opel manta
31,4,52,16.5,toyota corona
32,4,61,19,datsun 710
28,4,75,14.5,dodge colt
24,4,75,15.5,fiat 128
26,4,75,14,fiat 124 tc
24,4,97,15,honda civic
26,4,93,15.5,subaru
31,4,67,16,fiat x1.9
19,6,95,16,plymouth valiant custom
18,6,105,16,chevrolet nova
15,6,72,21,mercury monarch
15,6,72,19.5,ford maverick
16,8,170,11.5,pontiac catalina
15,8,145,14,chevrolet bel air
16,8,150,14.5,plymouth grand fury
14,8,148,13.5,ford ltd
17,6,110,21,buick century
16,6,105,18.5,chevroelt chevelle malibu
15,6,110,19,amc matador
