displacement,weight,model_year,origin,name
307,3504,70,usa,chevrolet chevelle malibu
350,3693,70,usa,buick skylark 320
318,3436,70,usa,plymouth satellite
304,3433,70,usa,amc rebel sst
302,3449,70,usa,ford torino
429,4341,70,usa,ford galaxie 500
454,4354,70,usa,chevrolet impala
440,4312,70,usa,plymouth fury iii
455,4425,70,usa,pontiac catalina
390,3850,70,usa,amc ambassador dpl
383,3563,70,usa,dodge challenger se
340,3609,70,usa,plymouth 'cuda 340
,3761,70,usa,chevrolet monte carlo
455,3086,70,usa,buick estate wagon (sw)
113,2372,70,japan,toyota corona mark ii
198,2833,70,usa,plymouth duster
199,2774,70,usa,amc hornet
200,2587,70,usa,ford maverick
97,2130,70,japan,datsun pl510
97,1835,70,europe,volkswagen 1131 deluxe sedan
110,2672,70,europe,peugeot 504
107,2430,70,europe,audi 100 ls
104,2375,70,europe,saab 99e
121,2234,70,europe,bmw 2002
199,2648,,usa,amc gremlin
360,4615,70,usa,ford f250
307,4376,70,usa,chevy c20
318,4382,70,usa,dodge d200
304,4732,70,usa,hi 1200d
97,2130,71,japan,datsun pl510
140,2264,71,usa,chevrolet vega 2300
113,2228,71,japan,toyota corona
98,2046,71,usa,ford pinto
232,2634,71,usa,amc gremlin
225,3439,71,usa,plymouth satellite custom
250,3329,71,usa,chevrolet chevelle malibu
250,3302,71,usa,ford torino 500
232,3288,71,usa,amc matador
350,4209,71,usa,chevrolet impala
400,4464,71,usa,pontiac catalina brougham
351,4154,71,usa,ford galaxie 500
318,4096,71,usa,plymouth fury iii
383,4955,71,usa,dodge monaco (sw)
400,,71,usa,ford country squire (sw)
400,5140,71,usa,pontiac safari (sw)
258,2962,71,usa,amc hornet sportabout (sw)
140,2408,71,usa,chevrolet vega (sw)
250,3282,71,usa,pontiac firebird
250,3139,71,usa,ford mustang
122,2220,71,usa,mercury capri 2000
116,2123,71,europe,opel 1900
79,2074,71,europe,peugeot 304
88,2065,71,europe,fiat 124b
88,2065,71,europe,fiat 124b
71,1773,71,japan,toyota corolla 1200
72,1613,71,japan,datsun 1200
97,1834,71,europe,volkswagen model 111
91,1955,71,usa,plymouth cricket
113,2278,72,japan,toyota corona hardtop
97.5,2126,72,usa,dodge colt hardtop
97,2254,72,europe,volkswagen type 3
140,2408,72,usa,chevrolet vega
122,2226,72,usa,ford pinto runabout
350,4274,72,usa,chevrolet impala
400,4385,72,usa,pontiac catalina
318,4135,72,usa,plymouth fury iii
351,4129,72,usa,ford galaxie 500
304,3672,72,usa,amc ambassador sst
429,4633,72,usa,mercury marquis
350,4502,72,usa,buick lesabre custom
350,4456,72,usa,oldsmobile delta 88 royale
400,4422,72,usa,chrysler newport royal
70,2330,72,japan,mazda rx2 coupe
304,3892,72,usa,amc matador (sw)
307,4098,72,usa,chevrolet chevelle concours (sw)
302,4294,72,usa,ford gran torino (sw)
318,4077,72,usa,plymouth satellite custom (sw)
121,2933,72,europe,volvo 145e (sw)
121,2511,72,europe,volkswagen 411 (sw)
120,2979,72,europe,peugeot 504 (sw)
96,2189,72,europe,renault 12 (sw)
122,2395,72,usa,ford pinto (sw)
97,2288,72,japan,datsun 510 (sw)
120,2506,72,japan,toyouta corona mark ii (sw)
98,2164,72,usa,dodge colt (sw)
97,2100,72,japan,toyota corolla 1600 (sw)
350,4100,73,usa,buick century 350
304,3672,73,usa,amc matador
350,3988,73,usa,chevrolet malibu
302,4042,73,usa,ford gran torino
318,3777,73,usa,dodge coronet custom
429,4952,73,usa,mercury marquis brougham
400,4464,73,usa,chevrolet caprice classic
351,4363,73,usa,ford ltd
318,4237,73,usa,plymouth fury gran sedan
440,4735,73,usa,chrysler new yorker brougham
455,4951,73,usa,buick electra 225 custom
360,3821,73,usa,amc ambassador brougham
225,3121,73,usa,plymouth valiant
250,3278,73,usa,chevrolet nova custom
232,2945,73,usa,amc hornet
250,3021,73,usa,ford maverick
198,2904,73,usa,plymouth duster
97,1950,73,europe,volkswagen super beetle
400,4997,73,usa,chevrolet impala
400,4906,73,usa,ford country
360,4654,73,usa,plymouth custom suburb
350,4499,73,usa,oldsmobile vista cruiser
232,2789,73,usa,amc gremlin
97,2279,73,japan,toyota carina
140,2401,73,usa,chevrolet vega
108,2379,73,japan,datsun 610
70,2124,73,japan,maxda rx3
122,2310,73,usa,ford pinto
155,2472,73,usa,mercury capri v6
98,2265,73,europe,fiat 124 sport coupe
350,4082,73,usa,chevrolet monte carlo s
400,4278,73,usa,pontiac grand prix
68,1867,73,europe,fiat 128
116,2158,73,europe,opel manta
114,2582,73,europe,audi 100ls
121,2868,73,europe,volvo 144ea
318,3399,73,usa,dodge dart custom
121,2660,73,europe,saab 99le
156,2807,73,japan,toyota mark ii
350,3664,73,usa,oldsmobile omega
198,3102,74,usa,plymouth duster
200,2875,74,usa,ford maverick
232,2901,74,usa,amc hornet
